104731,Kevin Anderson,M,RSA,203.0,R,1986
103333,Ivo Karlovic,M,CRO,208.0,R,1979
104468,Gilles Simon,M,FRA,183.0,R,1984
104327,Steve Darcis,M,BEL,178.0,R,1985
144719,Jaume Munar,M,ESP,183.0,R,1997
105332,Benoit Paire,M,FRA,196.0,R,1989
104291,Malek Jaziri,M,TUN,185.0,R,1983
105208,Ernests Gulbis,M,LAT,190.0,R,1988
111513,Laslo Djere,M,SRB,188.0,R,1995
104620,Simone Bolelli,M,ITA,183.0,R,1987
125802,Ilya Ivashka,M,BLR,193.0,R,1994
106210,Jiri Vesely,M,CZE,198.0,L,1993
111581,Michael Mmoh,M,USA,Null,R,1997
106368,Ramkumar Ramanathan,M,IND,Null,R,1994
105539,Evgeny Donskoy,M,RUS,185.0,R,1990
111202,Hyeon Chung,M,KOR,Null,R,1997
111459,Arjun Kadhe,M,IND,Null,R,1993
104797,Denis Istomin,M,UZB,188.0,R,1986
105430,Radu Albot,M,MDA,175.0,R,1989
128034,Hubert Hurkacz,M,POL,196.0,R,1996
126156,Antoine Hoang,Null,FRA,Null,R,1995
106329,Thiago Monteiro,M,BRA,183.0,L,1994
106148,Roberto Carballes Baena,M,ESP,183.0,R,1993
105432,Prajnesh Gunneswaran,M,IND,Null,L,1989
104719,Marcel Granollers,M,ESP,190.0,R,1988
104665,Pablo Andujar,M,ESP,180.0,R,1985
200000,Felix Auger Aliassime,M,CAN,193.0,R,2000
105155,Pedro Sousa,M,POR,180.0,R,1988
106078,Egor Gerasimov,M,BLR,196.0,R,1992
104593,Daniel Gimeno Traver,M,ESP,185.0,R,1985
105031,Saketh Myneni,M,IND,Null,R,1989
105359,Jason Jung,M,TPE,Null,R,1989
105413,Andrej Martin,M,SVK,180.0,R,1989
104978,Daniel Brands,M,GER,196.0,R,1989
111790,Brayden Schnur,M,CAN,Null,R,1995
124116,Sebastian Ofner,M,AUT,Null,R,1996
105074,Ruben Bemelmans,M,BEL,Null,L,1987
106420,Gianluigi Quinzi,M,ITA,Null,L,1997
124154,Sasi Kumar Mukund,M,IND,Null,R,1996
105656,Marcelo Arevalo,M,ESA,Null,R,1992
111815,Cameron Norrie,M,GBR,188.0,L,1995
105807,Pablo Carreno Busta,M,ESP,188.0,R,1991
104926,Fabio Fognini,M,ITA,178.0,R,1987
104545,John Isner,M,USA,206.0,R,1985
105311,Joao Sousa,M,POR,185.0,R,1989
103970,David Ferrer,M,ESP,175.0,R,1984
104907,Jose Rubin Statham,M,NZL,183.0,R,1988
133430,Denis Shapovalov,M,CAN,185.0,L,1999
105449,Steve Johnson,M,USA,188.0,R,1989
111456,Mackenzie McDonald,Null,USA,Null,R,1995
104655,Pablo Cuevas,M,URU,180.0,R,1985
104547,Horacio Zeballos,M,ARG,188.0,L,1987
105047,Tim Puetz,M,GER,Null,R,1988
103565,Stephane Robert,M,FRA,185.0,R,1980
104667,Philipp Oswald,M,AUT,Null,R,1988
105341,Thomas Fabbiano,M,ITA,Null,R,1989
110686,Finn Tearney,M,NZL,Null,R,1992
109054,Daniel Masur,M,GER,Null,R,1994
